time,tempm,hum,wspdm,wdird,wdire,pressurem,vism,windchillm,fog,rain,snow,hail,thunder
2015-01-01 13:00:00,-3.0,64,7.4,230,SW,1034,10.0,-6.0,0,0,0,0,0
2015-01-01 13:30:00,-3.0,64,7.4,220,SW,1034,10.0,-6.0,0,0,0,0,0
2015-01-01 14:00:00,-3.0,64,9.3,240,WSW,1034,8.0,-6.7,0,0,0,0,0
2015-01-01 14:30:00,-3.0,64,7.4,230,SW,1034,9.0,-6.0,0,0,0,0,0
2015-01-01 15:00:00,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0
2015-01-01 15:30:00,-3.0,69,7.4,220,SW,1034,8.0,-6.0,0,0,1,0,0
2015-01-01 16:00:00,-3.0,69,11.1,240,WSW,1034,6.0,-7.2,0,0,1,0,0
2015-01-01 16:30:00,-3.0,74,7.4,210,SSW,1034,6.0,-6.0,0,0,1,0,0
2015-01-01 17:00:00,-3.0,69,5.6,0,Variable,1035,6.0,-5.2,0,0,1,0,0
2015-01-01 17:30:00,-3.0,74,7.4,190,South,1035,6.0,-6.0,0,0,0,0,0
2015-01-01 18:00:00,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0
2015-01-01 18:30:00,-3.0,80,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0
2015-01-01 19:00:00,-3.0,80,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0
2015-01-01 19:30:00,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0
2015-01-01 20:00:00,-3.0,80,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0
2015-01-01 20:30:00,-3.0,80,7.4,140,SE,1034,6.0,-6.0,0,0,0,0,0
2015-01-01 21:00:00,-3.0,86,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0
2015-01-01 21:30:00,-3.0,86,3.7,0,Variable,1034,6.0,-999,0,1,0,0,0
2015-01-01 22:00:00,-3.0,86,9.3,140,SE,1034,5.0,-6.7,0,0,0,0,0
2015-01-01 22:30:00,-3.0,93,7.4,160,SSE,1034,5.0,-6.0,0,0,0,0,0
2015-01-01 23:00:00,-3.0,93,5.6,0,Variable,1035,5.0,-5.2,0,0,0,0,0
2015-01-01 23:30:00,-3.0,93,5.6,0,Variable,1034,4.0,-5.2,0,0,0,0,0
2015-01-02 00:00:00,-3.0,93,7.4,140,SE,1034,4.0,-6.0,0,0,0,0,0
2015-01-02 00:30:00,-3.0,93,7.4,150,SSE,1034,4.0,-6.0,0,0,0,0,0
2015-01-02 01:00:00,-3.0,93,3.7,0,Variable,1034,4.0,-999,0,0,0,0,0
2015-01-02 01:30:00,-3.0,93,5.6,0,Variable,1033,4.0,-5.2,0,0,0,0,0
2015-01-02 02:00:00,-3.0,93,5.6,0,Variable,1033,3.5,-5.2,0,0,0,0,0
2015-01-02 02:30:00,-3.0,93,7.4,150,SSE,1033,3.5,-6.0,0,0,0,0,0
2015-01-02 03:00:00,-3.0,93,5.6,0,Variable,1033,3.0,-5.2,0,0,0,0,0
2015-01-02 03:30:00,-3.0,93,9.3,160,SSE,1033,3.0,-6.7,0,0,0,0,0
2015-01-02 04:00:00,-3.0,93,7.4,150,SSE,1032,2.4,-6.0,0,0,0,0,0
2015-01-02 04:30:00,-3.0,93,7.4,180,South,1032,0.8,-6.0,1,0,0,0,0
2015-01-02 05:00:00,-3.0,100,7.4,180,South,1032,0.8,-6.0,1,0,0,0,0
2015-01-02 05:30:00,-3.0,100,5.6,0,Variable,1031,0.8,-5.2,1,0,0,0,0
2015-01-02 06:00:00,-3.0,100,7.4,150,SSE,1031,0.8,-6.0,1,0,0,0,0
2015-01-02 06:30:00,-3.0,100,5.6,0,Variable,1032,0.5,-5.2,1,0,0,0,0
2015-01-02 07:00:00,-3.0,100,7.4,130,SE,1031,0.2,-6.0,1,0,0,0,0
2015-01-02 07:30:00,-3.0,100,5.6,0,Variable,1032,0.2,-5.2,1,0,0,0,0
2015-01-02 08:00:00,-3.0,100,5.6,0,Variable,1032,0.3,-5.2,1,0,0,0,0
2015-01-02 08:30:00,-3.0,100,5.6,0,Variable,1032,0.4,-5.2,0,0,0,0,0
2015-01-02 09:00:00,-3.0,100,7.4,150,SSE,1031,0.6,-6.0,0,0,0,0,0
2015-01-02 09:30:00,-3.0,100,7.4,160,SSE,1031,1.6,-6.0,0,0,0,0,0
2015-01-02 10:00:00,-2.0,100,11.1,150,SSE,1031,2.8,-6.0,0,0,0,0,0
2015-01-02 10:30:00,-2.0,100,11.1,180,South,1031,3.0,-6.0,0,0,0,0,0
2015-01-02 11:00:00,-2.0,100,9.3,180,South,1031,3.5,-5.5,0,0,0,0,0
2015-01-02 11:30:00,-1.0,93,9.3,150,SSE,1030,-9999.0,-4.3,0,0,0,0,0
2015-01-02 12:00:00,-1.0,93,11.1,160,SSE,1030,4.0,-4.8,0,0,0,0,0
2015-01-02 12:30:00,0.0,87,11.1,150,SSE,1029,5.0,-3.6,0,0,0,0,0
2015-01-02 13:00:00,0.0,87,11.1,180,South,1029,6.0,-3.6,0,0,0,0,0
2015-01-02 13:30:00,1.0,81,9.3,190,South,1028,7.0,-1.9,0,0,0,0,0
2015-01-02 14:00:00,0.0,87,9.3,200,SSW,1028,7.0,-3.1,0,0,0,0,0
2015-01-02 14:30:00,0.0,87,11.1,170,South,1028,7.0,-3.6,0,0,0,0,0
2015-01-02 15:00:00,1.0,81,11.1,190,South,1027,7.0,-2.4,0,0,0,0,0
2015-01-02 15:30:00,1.0,81,7.4,160,SSE,1027,7.0,-1.4,0,0,0,0,0
2015-01-02 16:00:00,0.0,87,5.6,0,Variable,1027,5.0,-1.8,0,0,0,0,0
2015-01-02 16:30:00,0.0,87,5.6,0,Variable,1027,5.0,-1.8,0,0,0,0,0
2015-01-02 17:00:00,0.0,87,5.6,0,Variable,1026,5.0,-1.8,0,0,0,0,0
2015-01-02 17:30:00,0.0,87,7.4,160,SSE,1026,5.0,-2.5,0,1,0,0,0
2015-01-02 18:00:00,0.0,93,9.3,180,South,1026,5.0,-3.1,0,1,0,0,0
2015-01-02 18:30:00,0.0,93,9.3,200,SSW,1026,4.5,-3.1,0,1,0,0,0
2015-01-02 19:00:00,0.0,100,13.0,210,SSW,1026,4.5,-4.0,0,1,0,0,0
2015-01-02 19:30:00,0.0,100,13.0,210,SSW,1026,3.5,-4.0,0,1,0,0,0
2015-01-02 20:00:00,0.0,100,11.1,220,SW,1026,3.0,-3.6,0,0,0,0,0
2015-01-02 20:30:00,0.0,100,9.3,230,SW,1026,3.0,-3.1,1,0,0,0,0
2015-01-02 21:00:00,1.0,93,14.8,220,SW,1026,2.5,-3.1,1,1,0,0,0
2015-01-02 21:30:00,1.0,100,11.1,240,WSW,1026,2.5,-2.4,0,0,0,0,0
2015-01-02 22:00:00,1.0,100,7.4,260,West,1026,2.5,-1.4,0,0,0,0,0
2015-01-02 22:30:00,1.0,100,9.3,230,SW,1026,2.5,-1.9,0,0,0,0,0
2015-01-02 23:00:00,1.0,100,14.8,250,WSW,1026,3.0,-3.1,0,0,0,0,0
2015-01-02 23:30:00,2.0,100,13.0,250,WSW,1026,3.5,-1.5,0,0,0,0,0
2015-01-03 00:00:00,4.0,93,22.2,280,West,1026,5.0,-0.4,0,0,0,0,0
2015-01-03 00:30:00,3.0,93,20.4,280,West,1026,8.0,-1.5,0,0,0,0,0
2015-01-03 01:00:00,3.0,87,25.9,290,WNW,1026,-9999.0,-2.1,0,0,0,0,0
2015-01-03 01:30:00,3.0,81,27.8,300,WNW,1026,-9999.0,-2.3,0,0,0,0,0
2015-01-03 02:00:00,2.0,87,22.2,290,WNW,1027,-9999.0,-3.0,0,0,0,0,0
2015-01-03 02:30:00,2.0,81,25.9,290,WNW,1027,-9999.0,-3.4,0,0,0,0,0
2015-01-03 03:00:00,3.0,81,27.8,280,West,1027,-9999.0,-2.3,0,0,0,0,0
2015-01-03 03:30:00,3.0,75,29.6,280,West,1027,-9999.0,-2.5,0,0,0,0,0
2015-01-03 04:00:00,3.0,75,27.8,290,WNW,1027,-9999.0,-2.3,0,0,0,0,0
2015-01-03 04:30:00,3.0,75,29.6,280,West,1027,-9999.0,-2.5,0,0,0,0,0
2015-01-03 05:00:00,3.0,70,27.8,280,West,1027,-9999.0,-2.3,0,0,0,0,0
2015-01-03 05:30:00,3.0,70,25.9,290,WNW,1027,-9999.0,-2.1,0,0,0,0,0
2015-01-03 06:00:00,3.0,70,24.1,290,WNW,1027,-9999.0,-1.9,0,0,0,0,0
2015-01-03 06:30:00,3.0,65,25.9,290,WNW,1028,-9999.0,-2.1,0,0,0,0,0
2015-01-03 07:00:00,3.0,65,27.8,290,WNW,1028,-9999.0,-2.3,0,0,0,0,0
2015-01-03 07:30:00,3.0,65,24.1,280,West,1028,-9999.0,-1.9,0,0,0,0,0
2015-01-03 08:00:00,3.0,65,14.8,300,WNW,1028,10.0,-0.7,0,0,0,0,0
2015-01-03 08:30:00,3.0,65,11.1,290,WNW,1028,10.0,0.0,0,0,0,0,0
2015-01-03 09:00:00,4.0,65,16.7,270,West,1028,10.0,0.3,0,0,0,0,0
2015-01-03 09:30:00,3.0,70,11.1,240,WSW,1028,10.0,0.0,0,0,0,0,0
2015-01-03 10:00:00,5.0,61,14.8,280,West,1028,10.0,1.8,0,0,0,0,0
2015-01-03 10:30:00,6.0,57,18.5,260,West,1028,10.0,2.5,0,0,0,0,0
2015-01-03 11:00:00,6.0,57,22.2,250,WSW,1027,10.0,2.1,0,0,0,0,0
2015-01-03 11:30:00,6.0,57,18.5,270,West,1027,10.0,2.5,0,0,0,0,0
2015-01-03 12:00:00,5.0,57,27.8,300,WNW,1027,10.0,0.3,0,0,0,0,0
2015-01-03 12:30:00,6.0,53,27.8,310,NW,1026,10.0,1.6,0,0,0,0,0
2015-01-03 13:00:00,6.0,53,22.2,290,WNW,1026,10.0,2.1,0,0,0,0,0
2015-01-03 13:30:00,6.0,53,24.1,280,West,1025,10.0,1.9,0,0,0,0,0
2015-01-03 14:00:00,6.0,49,27.8,290,WNW,1025,10.0,1.6,0,0,0,0,0
2015-01-03 14:30:00,6.0,49,20.4,290,WNW,1024,-9999.0,2.3,0,0,0,0,0
2015-01-03 15:00:00,5.0,57,11.1,300,WNW,1024,-9999.0,2.5,0,0,0,0,0
2015-01-03 15:30:00,6.0,49,14.8,280,West,1023,-9999.0,3.0,0,0,0,0,0
2015-01-03 16:00:00,4.0,56,7.4,250,WSW,1023,-9999.0,2.1,0,0,0,0,0
2015-01-03 16:30:00,4.0,52,11.1,250,WSW,1022,-9999.0,1.2,0,0,0,0,0
2015-01-03 17:00:00,3.0,65,13.0,230,SW,1022,-9999.0,-0.3,0,0,0,0,0
2015-01-03 17:30:00,4.0,65,13.0,230,SW,1022,-9999.0,0.9,0,0,0,0,0
2015-01-03 18:00:00,3.0,75,14.8,230,SW,1021,-9999.0,-0.7,0,0,0,0,0
2015-01-03 18:30:00,3.0,75,7.4,220,SW,1020,-9999.0,1.0,0,0,0,0,0
2015-01-03 19:00:00,3.0,75,7.4,190,South,1019,10.0,1.0,0,0,0,0,0
2015-01-03 19:30:00,3.0,70,5.6,0,Variable,1019,10.0,1.6,0,0,0,0,0
2015-01-03 20:00:00,3.0,70,5.6,0,Variable,1018,10.0,1.6,0,0,0,0,0
2015-01-03 20:30:00,3.0,70,9.3,250,WSW,1018,8.0,0.5,0,1,1,0,0
2015-01-03 21:00:00,2.0,87,14.8,250,WSW,1018,8.0,-1.9,0,1,1,0,0
2015-01-03 21:30:00,2.0,87,13.0,240,WSW,1017,8.0,-1.5,0,1,1,0,0
2015-01-03 22:00:00,1.0,93,22.2,230,SW,1017,8.0,-4.3,0,1,1,0,0
2015-01-03 22:30:00,1.0,100,11.1,210,SSW,1016,6.0,-2.4,0,1,0,0,0
2015-01-03 23:00:00,1.0,100,5.6,0,Variable,1015,5.0,-0.7,0,1,0,0,0
2015-01-03 23:30:00,1.0,100,3.7,0,Variable,1015,-9999.0,-999,0,0,1,0,0
2015-01-04 00:00:00,0.0,100,3.7,0,Variable,1014,2.5,-999,0,1,0,0,0
2015-01-04 00:30:00,0.0,100,5.6,0,Variable,1013,1.8,-1.8,0,1,0,0,0
2015-01-04 01:00:00,0.0,100,7.4,90,East,1013,1.0,-2.5,0,0,1,0,0
2015-01-04 01:30:00,0.0,100,5.6,0,Variable,1013,1.4,-1.8,0,0,1,0,0
2015-01-04 02:00:00,0.0,100,1.9,0,Variable,1013,1.2,-999,0,0,1,0,0
2015-01-04 02:30:00,0.0,100,1.9,0,Variable,1013,1.5,-999,0,0,1,0,0
2015-01-04 03:00:00,0.0,100,1.9,0,Variable,1012,1.8,-999,0,0,1,0,0
2015-01-04 03:30:00,0.0,100,1.9,0,Variable,1012,2.0,-999,0,0,1,0,0
2015-01-04 04:00:00,0.0,100,13.0,320,NW,1012,1.5,-4.0,0,0,1,0,0
2015-01-04 04:30:00,0.0,100,7.4,250,WSW,1012,3.0,-2.5,0,0,1,0,0
2015-01-04 05:00:00,1.0,100,16.7,300,WNW,1013,5.0,-3.4,0,0,1,0,0
2015-01-04 05:30:00,1.0,100,27.8,290,WNW,1013,8.0,-4.9,0,0,0,0,0
2015-01-04 06:00:00,1.0,93,38.9,300,WNW,1013,10.0,-5.9,0,0,0,0,0
2015-01-04 06:30:00,1.0,93,25.9,300,WNW,1013,10.0,-4.7,0,0,0,0,0
2015-01-04 07:00:00,1.0,93,33.3,290,WNW,1014,10.0,-5.5,0,0,0,0,0
2015-01-04 07:30:00,1.0,93,42.6,290,WNW,1014,10.0,-6.2,0,0,0,0,0
2015-01-04 08:00:00,1.0,93,38.9,290,WNW,1015,10.0,-5.9,0,0,0,0,0
2015-01-04 08:30:00,2.0,87,40.7,290,WNW,1015,10.0,-4.8,0,0,0,0,0
2015-01-04 09:00:00,2.0,87,29.6,290,WNW,1015,10.0,-3.8,0,0,0,0,0
2015-01-04 09:30:00,2.0,87,24.1,290,WNW,1015,10.0,-3.2,0,0,0,0,0
2015-01-04 10:00:00,3.0,81,35.2,300,WNW,1016,10.0,-3.0,0,0,0,0,0
2015-01-04 10:30:00,3.0,81,37.0,300,WNW,1017,10.0,-3.1,0,0,0,0,0
2015-01-04 11:00:00,4.0,75,35.2,300,WNW,1017,10.0,-1.7,0,0,0,0,0
2015-01-04 11:30:00,4.0,75,40.7,300,WNW,1017,10.0,-2.1,0,0,0,0,0
2015-01-04 12:00:00,4.0,75,48.2,300,WNW,1017,10.0,-2.6,0,0,0,0,0
2015-01-04 12:30:00,4.0,75,48.2,300,WNW,1017,10.0,-2.6,0,0,0,0,0
2015-01-04 13:00:00,5.0,65,44.4,300,WNW,1017,10.0,-1.0,0,0,0,0,0
2015-01-04 13:30:00,5.0,65,38.9,300,WNW,1017,10.0,-0.6,0,0,0,0,0
2015-01-04 14:00:00,4.0,70,46.3,300,WNW,1017,10.0,-2.4,0,0,0,0,0
2015-01-04 14:30:00,5.0,65,50.0,300,WNW,1018,10.0,-1.3,0,0,0,0,0
2015-01-04 15:00:00,4.0,70,44.4,300,WNW,1018,-9999.0,-2.3,0,0,0,0,0
2015-01-04 15:30:00,4.0,65,44.4,300,WNW,1018,-9999.0,-2.3,0,0,0,0,0
2015-01-04 16:00:00,4.0,65,44.4,290,WNW,1018,-9999.0,-2.3,0,0,0,0,0
2015-01-04 16:30:00,3.0,70,35.2,290,WNW,1019,-9999.0,-3.0,0,0,0,0,0
2015-01-04 17:00:00,4.0,65,33.3,290,WNW,1019,-9999.0,-1.5,0,0,0,0,0
2015-01-04 17:30:00,3.0,65,37.0,290,WNW,1019,-9999.0,-3.1,0,0,0,0,0
2015-01-04 18:00:00,3.0,70,25.9,280,West,1019,10.0,-2.1,0,0,0,0,0
2015-01-04 18:30:00,3.0,70,35.2,280,West,1019,10.0,-3.0,0,0,0,0,0
2015-01-04 19:00:00,3.0,70,37.0,290,WNW,1019,10.0,-3.1,0,0,0,0,0
2015-01-04 19:30:00,2.0,70,37.0,290,WNW,1019,-9999.0,-4.5,0,0,0,0,0
2015-01-04 20:00:00,2.0,70,35.2,300,WNW,1019,-9999.0,-4.3,0,0,0,0,0
2015-01-04 20:30:00,2.0,70,40.7,290,WNW,1020,-9999.0,-4.8,0,0,0,0,0
2015-01-04 21:00:00,1.0,75,31.5,290,WNW,1020,10.0,-5.3,0,0,0,0,0
2015-01-04 21:30:00,1.0,75,24.1,310,NW,1020,10.0,-4.5,0,0,0,0,0
2015-01-04 22:00:00,1.0,75,20.4,310,NW,1020,10.0,-4.0,0,0,0,0,0
2015-01-04 22:30:00,0.0,80,18.5,290,WNW,1020,-9999.0,-5.0,0,0,0,0,0
2015-01-04 23:00:00,0.0,80,18.5,290,WNW,1020,-9999.0,-5.0,0,0,0,0,0
2015-01-04 23:30:00,0.0,80,20.4,300,WNW,1020,-9999.0,-5.3,0,0,0,0,0
2015-01-05 00:00:00,0.0,80,24.1,290,WNW,1020,-9999.0,-5.8,0,0,0,0,0
2015-01-05 00:30:00,1.0,75,25.9,290,WNW,1020,-9999.0,-4.7,0,0,0,0,0
2015-01-05 01:00:00,1.0,75,22.2,290,WNW,1021,-9999.0,-4.3,0,0,0,0,0
2015-01-05 01:30:00,1.0,75,20.4,300,WNW,1021,-9999.0,-4.0,0,0,0,0,0
2015-01-05 02:00:00,1.0,70,20.4,290,WNW,1021,-9999.0,-4.0,0,0,0,0,0
2015-01-05 02:30:00,0.0,75,24.1,290,WNW,1021,-9999.0,-5.8,0,0,0,0,0
2015-01-05 03:00:00,1.0,70,22.2,290,WNW,1022,-9999.0,-4.3,0,0,0,0,0
2015-01-05 03:30:00,0.0,75,18.5,280,West,1022,-9999.0,-5.0,0,0,0,0,0
2015-01-05 04:00:00,0.0,69,18.5,280,West,1022,-9999.0,-5.0,0,0,0,0,0
2015-01-05 04:30:00,0.0,69,22.2,280,West,1023,-9999.0,-5.5,0,0,0,0,0
2015-01-05 05:00:00,0.0,69,27.8,300,WNW,1023,-9999.0,-6.2,0,0,0,0,0
2015-01-05 05:30:00,0.0,69,27.8,290,WNW,1023,-9999.0,-6.2,0,0,0,0,0
2015-01-05 06:00:00,0.0,69,27.8,290,WNW,1023,-9999.0,-6.2,0,0,0,0,0
2015-01-05 06:30:00,0.0,69,24.1,290,WNW,1023,-9999.0,-5.8,0,0,0,0,0
2015-01-05 07:00:00,0.0,69,24.1,290,WNW,1024,-9999.0,-5.8,0,0,0,0,0
2015-01-05 07:30:00,-1.0,75,24.1,290,WNW,1024,-9999.0,-7.0,0,0,0,0,0
2015-01-05 08:00:00,-1.0,75,31.5,300,WNW,1024,-9999.0,-7.9,0,0,0,0,0
2015-01-05 08:30:00,0.0,69,24.1,290,WNW,1024,-9999.0,-5.8,0,0,0,0,0
2015-01-05 09:00:00,1.0,65,16.7,300,WNW,1024,-9999.0,-3.4,0,0,0,0,0
2015-01-05 09:30:00,1.0,65,31.5,300,WNW,1024,-9999.0,-5.3,0,0,0,0,0
2015-01-05 10:00:00,2.0,56,29.6,300,WNW,1024,-9999.0,-3.8,0,0,0,0,0
2015-01-05 10:30:00,2.0,56,27.8,300,WNW,1024,-9999.0,-3.6,0,0,0,0,0
2015-01-05 11:00:00,1.0,56,24.1,300,WNW,1024,-9999.0,-4.5,0,0,0,0,0
2015-01-05 11:30:00,2.0,56,16.7,290,WNW,1023,10.0,-2.2,0,0,0,0,0
2015-01-05 12:00:00,2.0,60,22.2,280,West,1023,-9999.0,-3.0,0,0,0,0,0
2015-01-05 12:30:00,3.0,56,16.7,290,WNW,1023,-9999.0,-1.0,0,0,0,0,0
2015-01-05 13:00:00,3.0,60,22.2,290,WNW,1022,10.0,-1.7,0,0,0,0,0
2015-01-05 13:30:00,2.0,70,24.1,290,WNW,1022,10.0,-3.2,0,0,0,0,0
2015-01-05 14:00:00,3.0,65,16.7,300,WNW,1022,10.0,-1.0,0,0,0,0,0
2015-01-05 14:30:00,2.0,81,24.1,300,WNW,1021,8.0,-3.2,0,1,0,0,0
2015-01-05 15:00:00,1.0,93,20.4,270,West,1021,6.0,-4.0,0,1,0,0,0
2015-01-05 15:30:00,1.0,93,20.4,280,West,1021,10.0,-4.0,0,1,1,0,0
2015-01-05 16:00:00,2.0,87,27.8,290,WNW,1020,10.0,-3.6,0,0,0,0,0
2015-01-05 16:30:00,2.0,87,35.2,300,WNW,1020,10.0,-4.3,0,0,0,0,0
2015-01-05 17:00:00,2.0,87,31.5,300,WNW,1020,10.0,-4.0,0,0,0,0,0
2015-01-05 17:30:00,2.0,87,37.0,300,WNW,1020,10.0,-4.5,0,0,0,0,0
2015-01-05 18:00:00,2.0,87,33.3,300,WNW,1020,10.0,-4.1,0,0,0,0,0
2015-01-05 18:30:00,2.0,87,31.5,310,NW,1020,10.0,-4.0,0,0,0,0,0
2015-01-05 19:00:00,2.0,87,25.9,300,WNW,1020,10.0,-3.4,0,0,0,0,0
2015-01-05 19:30:00,2.0,87,16.7,310,NW,1020,10.0,-2.2,0,0,0,0,0
2015-01-05 20:00:00,1.0,87,18.5,310,NW,1020,10.0,-3.7,0,0,0,0,0
2015-01-05 20:30:00,2.0,81,22.2,310,NW,1021,10.0,-3.0,0,0,0,0,0
2015-01-05 21:00:00,1.0,81,22.2,320,NW,1021,-9999.0,-4.3,0,0,0,0,0
2015-01-05 21:30:00,1.0,81,20.4,320,NW,1021,-9999.0,-4.0,0,0,0,0,0
2015-01-05 22:00:00,0.0,87,20.4,320,NW,1021,-9999.0,-5.3,0,0,0,0,0
2015-01-05 22:30:00,0.0,87,16.7,330,NNW,1021,-9999.0,-4.7,0,0,0,0,0
2015-01-05 23:00:00,0.0,80,18.5,330,NNW,1021,-9999.0,-5.0,0,0,0,0,0
2015-01-05 23:30:00,-1.0,80,14.8,320,NW,1022,-9999.0,-5.6,0,0,0,0,0
2015-01-06 00:00:00,0.0,75,16.7,330,NNW,1022,-9999.0,-4.7,0,0,0,0,0
2015-01-06 00:30:00,-1.0,80,18.5,330,NNW,1022,-9999.0,-6.2,0,0,0,0,0
2015-01-06 01:00:00,-1.0,75,18.5,320,NW,1022,-9999.0,-6.2,0,0,0,0,0
2015-01-06 01:30:00,-1.0,69,22.2,320,NW,1022,-9999.0,-6.8,0,0,0,0,0
2015-01-06 02:00:00,-2.0,74,14.8,310,NW,1022,-9999.0,-6.8,0,0,0,0,0
2015-01-06 02:30:00,-2.0,74,18.5,310,NW,1022,-9999.0,-7.5,0,0,0,0,0
2015-01-06 03:00:00,-2.0,74,22.2,300,WNW,1022,-9999.0,-8.1,0,0,0,0,0
2015-01-06 03:30:00,-2.0,74,20.4,310,NW,1022,-9999.0,-7.8,0,0,0,0,0
2015-01-06 04:00:00,-3.0,74,16.7,300,WNW,1022,-9999.0,-8.4,0,0,0,0,0
2015-01-06 04:30:00,-2.0,69,9.3,300,WNW,1022,-9999.0,-5.5,0,0,0,0,0
2015-01-06 05:00:00,-3.0,80,16.7,310,NW,1022,-9999.0,-8.4,0,0,0,0,0
2015-01-06 05:30:00,-3.0,74,13.0,320,NW,1022,-9999.0,-7.6,0,0,0,0,0
2015-01-06 06:00:00,-4.0,80,11.1,320,NW,1023,-9999.0,-8.4,0,0,0,0,0
2015-01-06 06:30:00,-3.0,74,14.8,320,NW,1023,-9999.0,-8.0,0,0,0,0,0
2015-01-06 07:00:00,-3.0,80,14.8,310,NW,1023,-9999.0,-8.0,0,0,0,0,0
2015-01-06 07:30:00,-2.0,74,16.7,310,NW,1023,-9999.0,-7.2,0,0,0,0,0
2015-01-06 08:00:00,-2.0,74,16.7,310,NW,1023,-9999.0,-7.2,0,0,0,0,0
2015-01-06 08:30:00,-1.0,69,16.7,310,NW,1024,-9999.0,-5.9,0,0,0,0,0
2015-01-06 09:00:00,-1.0,69,14.8,300,WNW,1024,-9999.0,-5.6,0,0,0,0,0
2015-01-06 09:30:00,0.0,64,16.7,310,NW,1024,-9999.0,-4.7,0,0,0,0,0
2015-01-06 10:00:00,1.0,60,13.0,320,NW,1024,-9999.0,-2.8,0,0,0,0,0
2015-01-06 10:30:00,1.0,56,18.5,320,NW,1024,-9999.0,-3.7,0,0,0,0,0
2015-01-06 11:00:00,2.0,56,20.4,310,NW,1024,-9999.0,-2.7,0,0,0,0,0
2015-01-06 11:30:00,2.0,52,20.4,310,NW,1024,10.0,-2.7,0,0,0,0,0
2015-01-06 12:00:00,2.0,48,16.7,330,NNW,1024,10.0,-2.2,0,0,0,0,0
2015-01-06 12:30:00,3.0,45,16.7,320,NW,1024,-9999.0,-1.0,0,0,0,0,0
2015-01-06 13:00:00,3.0,41,14.8,320,NW,1024,-9999.0,-0.7,0,0,0,0,0
2015-01-06 13:30:00,3.0,38,16.7,330,NNW,1024,-9999.0,-1.0,0,0,0,0,0
2015-01-06 14:00:00,3.0,38,14.8,300,WNW,1024,-9999.0,-0.7,0,0,0,0,0
2015-01-06 14:30:00,3.0,38,14.8,310,NW,1024,-9999.0,-0.7,0,0,0,0,0
